ID,Start,End,Title,Room,Start label,End label
openingceremony,2020-02-07 19:45,2020-02-07 20:00,Opening Ceremony,main,,
bilndlemming,2020-02-07 20:00,2020-02-07 21:00,Blind Lemming Chiffon,main,,
zanda,2020-02-07 21:00,2020-02-07 22:00,Remembering Zanda - Cosmic Trifle,main,,
rememberancefilk,2020-02-07 22:00,2020-02-07 23:59,Rememberance Filk,main,,late
fridayfilk,2020-02-07 22:00,2020-02-07 23:59,Open Filk,alt,,late
instimprovworkshop,2020-02-08 10:00,2020-02-08 11:00,Workshop: Instrumental Improvisation Workshop - Sunnie,alt,,
cainetofcurios,2020-02-08 10:30,2020-02-08 11:15,Chanelle’s Cabinet of Curiosities,main,,
